authors,title
Bill Bryson,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away
"Lemony Snicket, Brett Helquist","The End (A Series of Unfortunate Events, #13)"
Mary Karr,The Liars' Club
Charlaine Harris,"Dead Ever After (Sookie Stackhouse, #13)"
Ray Bradbury,The Illustrated Man
Raine Miller,"Naked (The Blackstone Affair, #1)"
Jeff VanderMeer,"Annihilation (Southern Reach, #1)"
Abbi Glines,"Breathe (Sea Breeze, #1)"
"Margaret Wise Brown, Clement Hurd",The Runaway Bunny
"Stephen Hawking, Leonard Mlodinow",The Grand Design
John Grisham,The Innocent Man: Murder and Injustice in a Small Town
"Richard Bachman, Stephen King",The Bachman Books
Reza Aslan,Zealot: The Life and Times of Jesus of Nazareth
Terry Goodkind,"Soul of the Fire (Sword of Truth, #5)"
"Jan-Philipp Sendker, Kevin Wiliarty",The Art of Hearing Heartbeats
Iain M. Banks,"Consider Phlebas (Culture, #1)"
David J. Schwartz,The Magic of Thinking Big
Anne Rice,"The Vampire Armand (The Vampire Chronicles, #6)"
Abbi Glines,"Forever Too Far (Rosemary Beach, #3; Too Far, #3)"
George R.R. Martin,"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3: Part 1 of 2)"
"Carlo Collodi, John Boyne, Monteiro Lobato, Unknown",Pinocchio
Robin LaFevers,"Grave Mercy (His Fair Assassin, #1)"
Stormie Omartian,The Power of a Praying Wife
Henry Miller,Tropic of Cancer
Wally Lamb,The Hour I First Believed
Brian Sibley,Harry Potter: Film Wizardry
"Leo Tolstoy, Aylmer Maude",The Death of Ivan Ilych
Paula McLain,Circling the Sun
John Steinbeck,Travels with Charley: In Search of America
Alice Hoffman,The Dovekeepers
Scott Lynch,"The Republic of Thieves (Gentleman Bastard, #3)"
Cornelia Funke,The Thief Lord
Susan Ee,"World After (Penryn & the End of Days, #2)"
Dean Koontz,"Brother Odd (Odd Thomas, #3)"
John Howard Griffin,Black Like Me
Chuck Palahniuk,Snuff
James Patterson,"Jack & Jill (Alex Cross, #3)"
Ian McEwan,Saturday
Jonathan Kellerman,"When the Bough Breaks (Alex Delaware, #1)"
Robert James Waller,The Bridges of Madison County
Lee Child,"Gone Tomorrow (Jack Reacher, #13)"
Michael Scott,"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)"
Hilary Mantel,"Bring Up the Bodies (Thomas Cromwell, #2)"
Rick Riordan,"The Maze of Bones  (The 39 Clues, #1)"
Mark Bittman,How to Cook Everything: Simple Recipes for Great Food
Stephenie Meyer,"The Twilight Collection (Twilight, #1-3)"
Wassily Kandinsky,Concerning the Spiritual in Art
Winston Groom,"Forrest Gump (Forrest Gump, #1)"
"Albert Camus, Justin O'Brien",The Fall
Tom Robbins,Even Cowgirls Get the Blues
"Wilkie Collins, Carolyn G. Heilbrun",The Moonstone
